ఆ	TELUGU LETTER AA	0xc06
ద	TELUGU LETTER DA	0xc26
ి	TELUGU VOWEL SIGN I	0xc3f
క	TELUGU LETTER KA	0xc15
ా	TELUGU VOWEL SIGN AA	0xc3e
ం	TELUGU SIGN ANUSVARA	0xc02
డ	TELUGU LETTER DDA	0xc21
 	SPACE	0x20
త	TELUGU LETTER TA	0xc24
ొ	TELUGU VOWEL SIGN O	0xc4a
ల	TELUGU LETTER LA	0xc32
్	TELUGU SIGN VIRAMA	0xc4d
మ	TELUGU LETTER MA	0xc2e
ూ	TELUGU VOWEL SIGN UU	0xc42
ు	TELUGU VOWEL SIGN U	0xc41
హ	TELUGU LETTER HA	0xc39
ప	TELUGU LETTER PA	0xc2a
ర	TELUGU LETTER RA	0xc30
,	COMMA	0x2c
గ	TELUGU LETTER GA	0xc17
బ	TELUGU LETTER BA	0xc2c
చ	TELUGU LETTER CA	0xc1a
ె	TELUGU VOWEL SIGN E	0xc46
స	TELUGU LETTER SA	0xc38
.	FULL STOP	0x2e
ఏ	TELUGU LETTER EE	0xc0f
న	TELUGU LETTER NA	0xc28
య	TELUGU LETTER YA	0xc2f
అ	TELUGU LETTER A	0xc05
వ	TELUGU LETTER VA	0xc35
ణ	TELUGU LETTER NNA	0xc23
ఎ	TELUGU LETTER E	0xc0e
ఁ	TELUGU SIGN CANDRABINDU	0xc01
జ	TELUGU LETTER JA	0xc1c
ీ	TELUGU VOWEL SIGN II	0xc40
ఉ	TELUGU LETTER U	0xc09
ఇ	TELUGU LETTER I	0xc07
ట	TELUGU LETTER TTA	0xc1f
ో	TELUGU VOWEL SIGN OO	0xc4b
ే	TELUGU VOWEL SIGN EE	0xc47
ఓ	TELUGU LETTER OO	0xc13
ఈ	TELUGU LETTER II	0xc08
(	LEFT PARENTHESIS	0x28
)	RIGHT PARENTHESIS	0x29
‍	ZERO WIDTH JOINER	0x200d
‌	ZERO WIDTH NON-JOINER	0x200c
ఊ	TELUGU LETTER UU	0xc0a
ఒ	TELUGU LETTER O	0xc12
శ	TELUGU LETTER SHA	0xc36
ఙ	TELUGU LETTER NGA	0xc19
?	QUESTION MARK	0x3f
ష	TELUGU LETTER SSA	0xc37
ఐ	TELUGU LETTER AI	0xc10
+	PLUS SIGN	0x2b
:	COLON	0x3a
\	REVERSE SOLIDUS	0x5c
*	ASTERISK	0x2a
ై	TELUGU VOWEL SIGN AI	0xc48
ౌ	TELUGU VOWEL SIGN AU	0xc4c
-	HYPHEN-MINUS	0x2d
;	SEMICOLON	0x3b
_	LOW LINE	0x5f
ఖ	TELUGU LETTER KHA	0xc16
భ	TELUGU LETTER BHA	0xc2d
“	LEFT DOUBLE QUOTATION MARK	0x201c
‘	LEFT SINGLE QUOTATION MARK	0x2018
’	RIGHT SINGLE QUOTATION MARK	0x2019
”	RIGHT DOUBLE QUOTATION MARK	0x201d
|	VERTICAL LINE	0x7c
!	EXCLAMATION MARK	0x21
ఔ	TELUGU LETTER AU	0xc14
<	LESS-THAN SIGN	0x3c
@	COMMERCIAL AT	0x40
>	GREATER-THAN SIGN	0x3e
/	SOLIDUS	0x2f
…	HORIZONTAL ELLIPSIS	0x2026
